Title,Abstract,Citation Count,Publication Date,Joy_Score,Confidence_Score,Concern_Score,Curiosity_Score,Analytical_Score,Tentative_Score,Urgency_Score,Sentiment_Score,Primary_Emotions
Supercollider physics,"… physics capabilities of such a device and the demands placed upon accelerator parameters by the physics … However, according to ourpresent knowledge of elementary particle physics, …",3117,"E Eichten, I Hinchliffe, K Lane, C Quigg - Reviews of Modern Physics, 1984 - APS",0,0,0,0,0,0,0,0.0,['Neutral']
Erratum: supercollider physics,"A programming error led to too slow a growth in the population of heavy flavors. At the largest values of Q, our structure functions underestimate the heavy quark content of the proton by …",505,"E Eichten, I Hinchliffe, K Lane, C Quigg - Reviews of Modern Physics, 1986 - APS",0,0,0,0,0,0,0,0.1027,['Neutral']
Physics,"I feel great pleasure to introduce the thoroughly revised and enlarged edition of this book titled"" Krishna's Objective Pre Engineering Physics"". This time, the book has been updated to …",732,"R Resnick, D Halliday - 1966 - books.google.com",0,0,0,0,0,0,0,0.8316,['Neutral']
Physics of chemoreception,"Statistical fluctuations limit the precision with which a microorganism can, in a given time T, determine the concentration of a chemoattractant in the surrounding medium. The best a cell …",2342,"HC Berg, EM Purcell - Biophysical journal, 1977 - cell.com",0,0,0,0,0,0,0,0.6369,['Neutral']
Introduction to mesoscopic physics,"… physics and engineering, since engineering such tiny electronic components requires a firm grasp of quantum physics… text in a course on mesoscopic physics or as a supplementary text …",2422,Y Imry - 2002 - books.google.com,0,0,0,0,0,0,0,0.0,['Neutral']
Fundamentals of physics,"The 10th edition of Halliday, Resnick and Walkers Fundamentals of Physics provides the perfect solution for teaching a 2 or 3 semester calculus-based physics course, providing …",5675,"D Halliday, R Resnick, J Walker - 2013 - books.google.com",0,0,0,0,0,0,0,0.7184,['Neutral']
Physics of nonhermitian degeneracies,"… Nonhermitian hamiltonians usually enter physics as a … as a perturbation, with the physics essentially unchanged from the … nonhermitian physics differs radically from hermitian physics …",862,"MV Berry - Czechoslovak journal of physics, 2004 - Springer",0,0,0,0,0,0,1,0.0,['Urgency']
Physics at BES-III,… Studies of τ-charm physics could reveal or indicate the possible presence of new physics in the low energy region. This physics book provides detailed discussions on important topics …,533,"DM Asner, T Barnes, JM Bian, II Bigi… - arXiv preprint arXiv …, 2008 - arxiv.org",0,0,0,0,0,2,1,0.2023,"['Tentative', 'Urgency']"
The physics of rainclouds,"This book was first published in 1962, at a time when the meteorological study of cloud physics was gaining increasing prominence, largely due to numerous technological advances. …",1719,NH Fletcher - 2011 - books.google.com,0,0,0,0,0,0,0,0.4215,['Neutral']
Practical physics,This book sets out to demonstrate the purpose and critical approach that should be made to all experimental work in physics. It does not describe a systematic course in practical work. …,589,GL Squires - 2001 - books.google.com,0,0,0,0,0,0,1,-0.3182,['Urgency']
Physics and beyond,"What was it like to be an atomic scientist in the years from 1920 to 1965? In this fascinating intellectual autobiography, Werner Heisenberg recalls the development of atomic physics, as …",1829,W Heisenberg - 1971 - search.proquest.com,0,0,0,0,0,0,0,0.8728,['Neutral']
Electrophotography and development physics,"… While our knowledge of the physics of solid area and … The primary purpose of this book is to discuss critically the physics of … 1), followed by a discussion of the physics within each of the …",750,LB Schein - 2013 - books.google.com,0,0,0,0,0,0,1,0.1531,['Urgency']
Modern physics,"… We begin our study in this chapter with a brief review of some important principles of classical physics, and we discuss some situations in which classical physics offers either …",462,KS Krane - 2019 - books.google.com,0,0,0,0,0,0,1,0.2023,['Urgency']
Understanding physics,… physics was being transformed into the practical technology of the Industrial Revolution. Physics … The author also shows how the development of 19th century physics led to the Second …,291,I Asimov - 1988 - books.google.com,0,0,0,0,0,0,0,0.0,['Neutral']
"Fundamentals of Physics, Chapters 38-44","… of physics has been to work out the quantum physics of nuclei, and, for almost as long, a principal goal of some types of engineering has been to apply that quantum physics … physics of …",1022,"D Halliday, R Resnick, J Walker - 2010 - books.google.com",0,0,0,0,0,0,0,0.0,['Neutral']
Review of particle physics,"This biennial Review summarizes much of Particle Physics. Using data from previous editions, plus 1726 new measurements from 512 papers, we list, evaluate, and average measured …",7790,"S Eidelman, KG Hayes, KA Olive, M Aguilar-Benitez… - Physics letters B, 2004 - Elsevier",0,0,0,0,2,0,0,0.0,['Analytical']
"Physics, Volume 2","… physics where appropriate throughout the text, but the separate sections on modern physics have been consolidated into Chapters 45–52, which treat topics from quantum physics and …",1247,"D Halliday, R Resnick, KS Krane - 2010 - books.google.com",0,0,0,0,0,0,0,0.5499,['Neutral']
Herwig++ physics and manual,"In this paper we describe Herwig++ version 2.3, a general-purpose Monte Carlo event generator for the simulation of hard lepton-lepton, lepton-hadron and hadron-hadron collisions. A …",4270,"M Bahr, S Gieseke, MA Gigg, D Grellscheid… - arXiv preprint arXiv …, 2008 - arxiv.org",0,0,0,0,0,0,0,-0.3612,['Neutral']
Physics and philosophy,""" There is no more eloquent, interesting or persuasive exposition of what may be called science of philosophy than Sir James Jeans's.""—The New York Times Can we have any …",515,JH Jeans - 2012 - books.google.com,0,0,0,1,0,1,0,0.197,"['Curiosity', 'Tentative']"
Herwig++ physics and manual,"In this paper we describe $\mathsf{Herwig++}$ version 2.2, a general-purpose Monte Carlo event generator for the simulation of hard lepton-lepton and hadron-hadron collisions. A …",2190,"M Bähr, S Gieseke, MA Gigg, D Grellscheid… - The European Physical …, 2008 - Springer",0,0,0,0,0,0,0,-0.3612,['Neutral']
Fundamentals of physics extended,This book arms engineers with the tools to apply key physics concepts in the field. A number of the key figures in the new edition are revised to provide a more inviting and informative …,567,JD Walker - 2010 - engagedscholarship.csuohio.edu,0,0,0,0,0,0,0,0.4391,['Neutral']
Physics and philosophy,"… of the revolution in modern physics, in which he played a … is considered the father of quantum physics; he is most famous for … cornerstone of contemporary physics theory and application. …",6292,W Heisenberg - 1958 - philpapers.org,0,0,0,0,0,0,0,0.34,['Neutral']
Foundations of physics,"This is not an introduction to physics but an analysis of its founda tions. Indeed, the aims of this book are:(1) to analyze the form and content of some of the key ideas of physics;(2) to …",545,M Bunge - 2013 - books.google.com,0,0,0,0,1,0,0,0.0,['Analytical']
Introduction to modern physics,"… of physics, classical as well as modern, as will give to the student a correct perspective of the growth and present trend of physics as … or indirectly related to physics, such as engineering, …",547,FK Richtmyer - 1928 - books.google.com,0,0,0,0,0,0,0,0.5719,['Neutral']
Evolution of physics,"… to physics in defiance of much of quantum mechanics, Einstein's The Evolution of Physics … A classic work for any student of physics or lover of Albert Einstein, The Evolution of Physics …",3808,"A Einstein, L Infeld - 1966 - books.google.com",0,0,0,0,0,0,0,0.5859,['Neutral']
Art & physics,"… In Art and Physics, author Leonard SHLAIN proposes that the revolutionary artist, using image and metaphor, introduces a new way to see the world. This vision is usually so radical it …",609,L Shlain - 1993 - cds.cern.ch,0,0,0,0,0,0,0,0.3071,['Neutral']
Handbook of physics,"The"" Handbook of Physics"" is a complete desktop reference for scientists, engineers, and students. A veritable toolbox for everyday use in problem solving, homework, examinations, …",500,"W Benenson, JW Harris, H Stöcker, H Lutz - 2006 - books.google.com",0,0,0,0,0,0,0,-0.0772,['Neutral']
Introduction to space physics,All aspects of space plasmas in the Solar System are introduced and explored in this text for senior undergraduate and graduate students. Introduction to Space Physics provides a …,1839,"MG Kivelson, CT Russell - 1995 - books.google.com",0,0,0,0,0,0,0,0.0,['Neutral']
Physics: the elements,"Norman Robert Campbell (1880-1949) was an English physicist and philosopher who made a significant contribution to the philosophy of science. In this book, which was first …",1111,NR Campbell - 2013 - books.google.com,0,0,0,0,0,0,0,0.2023,['Neutral']
College physics,And with the majority of the story is written fresh and captivating and likable read. My saving quibble. It's not a complete guide to public literature. I really wanted to get it from the end. I …,354,"RA Serway, C Vuille, JS Faughn, TJ Berzina - 2003 - moroccoalumni.ma",0,0,0,0,0,0,0,0.3182,['Neutral']
